"","results"
"568",0.503409484446872
"569",0.41683174565331
"570",0.40077597618311
"571",0.572135677010692
"572",0.422544900739175
"573",53
"574",NA
"575",0.972693512388169
"576",0.906873833174233
"577",0.591810346367199
"578",0.374109107474246
"579",0.377281903436756
"580",0.42147405077279
"581",0.355157694410306
"582",0.38085468727239
"583",0.322559549724904
"584",54
"585",NA
"586",0.984478779704746
"587",0.940114864507484
"588",0.52390544067572
"589",0.525487063207859
"590",0.419812601432253
"591",0.326966958622127
"592",0.685745603706841
"593",0.417828254360579
"594",0.610509927480761
"595",55
"596",NA
"597",0.976220576613581
"598",0.929291694575608
"599",0.469445236074154
"600",0.423707152493934
"601",0.423326437821282
"602",0.49549890258315
"603",0.503631611749542
"604",0.409463091806002
"605",0.355754292649414
"606",56
"607",NA
"608",0.980956454293131
"609",0.955653869770828
"610",0.498999602092084
"611",0.750561944498406
"612",0.434636686953351
"613",0.400937009782543
"614",0.441263544066206
"615",0.489687623745159
"616",0.374889759243416
"617",57
"618",NA
"619",0.969054077773099
"620",0.924861597005352
"621",0.550815025918951
"622",0.332513228489129
"623",0.328787828875547
"624",0.402328835206509
"625",0.505188221290257
"626",0.35550325361938
"627",0.402068476588878
"628",58
"629",NA
"630",0.978538735169199
"631",0.949142092796031
"632",0.475890928846922
"633",0.822230914840539
"634",0.429922508862716
"635",0.3541695248718
"636",0.564007599254297
"637",0.394679171263108
"638",0.475087127825383
"639",59
"640",NA
"641",0.962409671036478
"642",0.437308780708645
"643",0.519875419909655
"644",0.38328214457563
"645",0.451602620100721
"646",0.360265097140666
"647",0.343284483707752
"648",0.619731634791605
"649",0.359551104707132
"650",60
"651",NA
"652",0.969308947755452
"653",0.918611261553445
"654",0.546940757106473
"655",0.722965397678997
"656",0.708647784803772
"657",0.334434591034408
"658",0.524959662766189
"659",0.382515753962932
"660",0.427261507200769
"661",61
"662",NA
"663",0.958791832589982
"664",0.933777505818065
"665",0.739690900988051
"666",0.50579876381428
"667",0.397912486149284
"668",0.484740617746159
"669",0.45537965040212
"670",0.311399092480553
"671",0.335416916739241
"672",62
"673",NA
"674",0.965652264697245
"675",0.948884376471576
"676",0.909840307477308
"677",0.39271461495211
"678",0.388537749042666
"679",0.42548795285453
"680",0.324771404575748
"681",0.487002958784982
"682",0.561079601664313
"683",63
"684",NA
"685",0.962347522750103
"686",0.952474943563578
"687",0.486774939434576
"688",0.565308074765135
"689",0.349355772398627
"690",0.407825767110036
"691",0.460665235435747
"692",0.477807906468153
"693",0.403016420206425
"694",64
"695",NA
"696",0.984471391805636
"697",0.923639332737938
"698",0.874654357131526
"699",0.406522726854904
"700",0.45502724908372
"701",0.415121208091361
"702",0.408005959093038
"703",0.417609588852224
"704",0.298328084112882
"705",65
"706",NA
"707",0.963279244967492
"708",0.925783730921797
"709",0.895852530666419
"710",0.576098546773557
"711",0.44197654287874
"712",0.398820739249606
"713",0.32370888905729
"714",0.501561555785015
"715",0.412980238992248
"716",66
"717",NA
"718",0.977262257865497
"719",0.946004868848435
"720",0.871971105136638
"721",0.389651847010414
"722",0.425804861364553
"723",0.293302574764614
"724",0.396712560475194
"725",0.511027355980538
